scheme_code,scheme_name,aum_cr
152073,360 ONE Balanced Hybrid Fund,786.61
152074,360 ONE Balanced Hyrbrid fund,0.43
122612,360 ONE Dynamic Bond Fund,619.63
151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund,77.92
151796,360 ONE FLEXICAP FUND,1984.8
131581,360 ONE Focused Fund,6778.36
153357,360 ONE Gold ETF,137.61
125349,360 ONE LIQUID FUND,1218.31
153774,360 ONE Multi Asset Allocation Fund,356.45
153703,360 ONE Overnight Fund,295.18
149318,360 ONE QUANT FUND,886.19
153415,360 ONE Silver ETF,52.39
154043,Abakkus Flexi Cap Fund,2921.93
154049,Abakkus Liquid Fund,139.12
154215,Abakkus Small Cap Fund,68.42
120550,Aditya Birla Sun Life,1518.88
132175,Aditya Birla Sun Life Aggressive Hybrid Omni FOF,40.27
119526,Aditya Birla Sun Life Arbitrage Fund,26213.44
146407,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA,1153.5
131670,Aditya Birla Sun Life Balanced Advantage Fund,8922.33
119551,Aditya Birla Sun Life Banking & PSU Debt Fund,8977.89
110490,Aditya Birla Sun Life Banking & PSU Debt Fund - retail,0.39
125598,Aditya Birla Sun Life Banking and Financial Services Fund,3585.27
153735,Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund,63.25
153740,Aditya Birla Sun Life BSE 500 Quality 50 Index Fund,68.63
153081,Aditya Birla Sun Life BSE India Infrastructure Index Fund,28.23
139581,Aditya Birla Sun Life BSE Sensex ETF,280.4
154224,Aditya Birla Sun Life BSE Top 10 Banks ETF,17.2
149295,Aditya Birla Sun Life Business Cycle Fund,1710.2
153124,Aditya Birla Sun Life Conglomerate Fund,1633.46
132179,Aditya Birla Sun Life Conservative Hybrid Active FOF,16.85
119591,Aditya Birla Sun Life Consumption Fund,6120.15
119533,Aditya Birla Sun Life Corporate Bond Fund,27950.18
134385,Aditya Birla Sun Life Credit Risk Fund,1154.91
152802,Aditya Birla Sun Life Crisil 10 Year Gilt ETF,31.84
152732,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF,41.45
150702,Aditya Birla Sun Life Crisil IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund,389.26
150938,Aditya Birla Sun Life Crisil IBX 60:40 SDL + AAA PSU APR 2026 Index Fund,21.1
150939,Aditya Birla Sun Life Crisil IBX 60:40 SDL+ AAA PSU APR 2026 Index Fund,0.01
150936,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU APR 2026 Index Fund,22.5
150353,Aditya Birla Sun Life Crisil IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund,1457.63
151577,Aditya Birla Sun Life Crisil IBX Gilt Apr 2028 Index Fund,20.69
152267,Aditya Birla Sun Life Crisil IBX Gilt Apr 2033 Index Fund,51.84
152659,Aditya Birla Sun Life Crisil IBX Gilt June 2027 Index Fund,12.24
