scheme_name,amc,scheme_type,scheme_sub_type,trail_brokerage_incl_gst,amc_normalised
360 ONE Balanced Hybrid Fund,360 ONE Mutual Fund,HYBRID,Balanced Advantage Fund,0.8,360 ONE Mutual Fund
360 ONE Dynamic Bond Fund,360 ONE Mutual Fund,DEBT,Dynamic Bond Fund,0.18,360 ONE Mutual Fund
360 ONE ELSS Nifty 50 Tax Saver Index Fund,360 ONE Mutual Fund,EQUITY,ELSS,0.15,360 ONE Mutual Fund
360 ONE FlexiCap Fund,360 ONE Mutual Fund,EQUITY,Flexi Cap Fund,0.92,360 ONE Mutual Fund
360 ONE Focused Fund,360 ONE Mutual Fund,EQUITY,Focused Fund,0.46,360 ONE Mutual Fund
360 ONE Liquid Fund,360 ONE Mutual Fund,DEBT,Liquid Fund,0.04,360 ONE Mutual Fund
360 ONE Multi Asset Allocation Fund,360 ONE Mutual Fund,HYBRID,Multi Asset Allocation,0.92,360 ONE Mutual Fund
360 ONE Overnight Fund,360 ONE Mutual Fund,DEBT,Overnight Fund,0.04,360 ONE Mutual Fund
360 ONE Quant Fund,360 ONE Mutual Fund,EQUITY,Thematic Fund,0.92,360 ONE Mutual Fund
Abakkus Flexi Cap Fund,Abakkus Mutual Fund,EQUITY,Flexi Cap Fund,1.05,Abakkus Mutual Fund
Abakkus Liquid Fund,Abakkus Mutual Fund,DEBT,Liquid Fund,0.06,Abakkus Mutual Fund
Aditya Birla Sun Life Aggressive Hybrid Omni FOF,Aditya Birla Sunlife Mutual Fund,HYBRID,FOF Domestic Hybrid,0.52,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Arbitrage Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Arbitrage Fund,0.71,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life BSE 500 Momentum 50 Index fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Index / ETF,0.54,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life BSE 500 Quality 50 Index Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Index / ETF,0.54,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life BSE India Infrastructure Index Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Index / ETF,0.54,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Bal Bhavishya Yojna,Aditya Birla Sunlife Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.46,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Balanced Advantage Fund,Aditya Birla Sunlife Mutual Fund,HYBRID,Balanced Advantage Fund,1.09,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Banking & PSU Debt Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Banking and PSU Debt Fund,0.37,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Banking And Financial Services Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Sectoral Fund,1.24,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Business Cycle Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Thematic Fund,1.39,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life CRISIL IBX 50-50 Gilt Plus SDL Apr 2028 Index Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.18,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life CRISIL IBX 60-40 SDL Plus AAA PSU Apr 2026 Index Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.21,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life CRISIL IBX 60-40 SDL plus AAA PSU - Apr 2027 Index Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.17,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life CRISIL IBX GILT APRIL 2033 INDEX FUND,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.26,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life CRISIL IBX Gilt - April 2026 Index Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.19,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.41,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life CRISIL IBX Gilt Apr 2029 Index Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.2,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life CRISIL IBX Gilt June 2027 Index Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.24,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.33,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life CRISIL-IBX AAA Financial Services Index-Sep 2027 Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.2,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life CRISIL-IBX AAA NBFC-HFC Index-Sep 2026 Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.24,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life CRISIL-IBX Financial Services 3 to 6 Months Debt Index Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.19,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life CRISIL-IBX Financial Services 9-12 Months Debt Index Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.19,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Conglomerate Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Thematic Fund,1.29,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Conservative Hybrid Active FOF,Aditya Birla Sunlife Mutual Fund,HYBRID,FOF Domestic Hybrid,0.45,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Consumption Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Thematic Fund,1.12,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Corporate Bond Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Corporate Bond Fund,0.27,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Credit Risk Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Credit Risk Fund,0.73,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Digital India Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Sectoral Fund,1.13,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Dynamic Asset Allocation Omni FOF,Aditya Birla Sunlife Mutual Fund,EQUITY,FOF Domestic Equity,0.53,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Dynamic Bond Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Dynamic Bond Fund,0.7,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life ELSS Tax Saver Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,ELSS,0.91,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life ESG Integration Strategy Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Thematic Fund,1.62,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Equity Hybrid 95 Fund,Aditya Birla Sunlife Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.09,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Equity Savings Fund,Aditya Birla Sunlife Mutual Fund,HYBRID,Equity Savings Fund,0.72,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Flexi Cap Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Flexi Cap Fund,1.0,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Floating Rate Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Floater Fund,0.22,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Focused Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Focused Fund,1.06,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Global Emerging Opportunities Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,FOF Overseas,0.45,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Global Excellence Equity Fund of Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,FOF Overseas,0.47,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Gold Fund,Aditya Birla Sunlife Mutual Fund,OTHERS,GOLD PLAN,0.24,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Government Securities Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Gilt Fund,0.44,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Income Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.37,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Income Plus Arbitrage Active FOF,Aditya Birla Sunlife Mutual Fund,DEBT,FOF Domestic Debt,0.26,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Infrastructure Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Thematic Fund,1.49,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life International Equity Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Thematic Fund,0.84,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Large Cap Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Large Cap Fund,0.99,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Large and Mid Cap Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Large and Mid Cap Fu,1.13,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Liquid Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Liquid Fund,0.18,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Long Duration Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Long Duration Fund,0.44,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Low Duration Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Low Duration Fund,0.7,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life MNC Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Thematic Fund,1.2,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Manufacturing Equity Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Thematic Fund,1.49,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Medium Term Plan,Aditya Birla Sunlife Mutual Fund,DEBT,Medium Duration Fund,0.66,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Midcap Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Mid Cap Fund,1.11,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Money Manager Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Money Market Fund,0.18,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Multi - Asset Passive FOF,Aditya Birla Sunlife Mutual Fund,EQUITY,FOF Domestic Equity,0.22,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Multi Asset Allocation Fund,Aditya Birla Sunlife Mutual Fund,HYBRID,Multi Asset Allocation,0.85,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Multi-Asset Omni FOF,Aditya Birla Sunlife Mutual Fund,HYBRID,FOF Domestic Hybrid,0.84,Aditya Birla Sunlife Mutual Fund
