scheme_code,scheme_name,amc,scheme_type,scheme_category_full,category,sub_category
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Equity,Large & Mid Cap Fund
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100039,Birla Income Plus-Institutional (Growth),Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100047,Aditya Birla Sun Life Liquid Fund - Growth,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
100078,DSP Bond Fund - Growth,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
105875,DSP Flexi Cap Fund - Regular Plan - Growth,DSP Asset Managers Private Limited,Open Ended,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
100081,DSP Aggressive Hybrid Fund- Regular Plan - Growth,DSP Asset Managers Private Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
100084,DSP Gilt Fund - Regular Plan - Growth,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100087,DSP Savings Fund - Regular Plan - Growth,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Money Market Fund,Debt,Money Market Fund
103819,DSP Large & Mid Cap Fund - Regular Plan - Growth,DSP Asset Managers Private Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Equity,Large & Mid Cap Fund
100124,HDFC Income Fund - Growth Option,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100127,HDFC Income Fund-Premium Plus Growth,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100128,HDFC Income Fund-Premium Plan Growth,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100129,HDFC Income Fund-Premium Plus Growth,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,quant Money Managers Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
100177,quant Small Cap Fund - Growth - Regular Plan,quant Money Managers Limited,Open Ended,Equity Scheme - Small Cap Fund,Equity,Small Cap Fund
100219,JM Large Cap Fund (Regular) - Growth Option,JM Financial Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
100221,JM Aggressive Hybrid Fund (Regular) -Growth Option,JM Financial Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
