scheme_name,benchmark,riskometer,riskometer_benchmark,nav_date,nav_regular,nav_direct,return_1y_regular,return_1y_direct,return_1y_benchmark,info_ratio_1y_regular,info_ratio_1y_direct,return_3y_regular,return_3y_direct,return_3y_benchmark,info_ratio_3y_regular,info_ratio_3y_direct,return_5y_regular,return_5y_direct,return_5y_benchmark,info_ratio_5y_regular,info_ratio_5y_direct,return_10y_regular,return_10y_direct,return_10y_benchmark,info_ratio_10y_regular,info_ratio_10y_direct,return_since_launch_regular,return_since_launch_direct,return_since_launch_benchmark,return_since_launch_direct_benchmark,aum_cr,category,sub_category,source_file,Return 7 Days (%) Regular,Return 7 Days (%) Direct,Return 7 Days (%) Benchmark,Return 15 Days (%) Regular,Return 15 Days (%) Direct,Return 15 Days (%) Benchmark,Return 1 Month (%) Regular,Return 1 Month (%) Direct,Return 1 Month (%) Benchmark,Return 3 Month (%) Regular,Return 3 Month (%) Direct,Return 3 Month (%) Benchmark,Return 6 Month (%) Regular,Return 6 Month (%) Direct,Return 6 Month (%) Benchmark,Previous Month Closing AUM (Cr.),Previous Month Average AUM (Cr.)
Aditya Birla Sun Life Large Cap Fund,Nifty 100 TRI,Very High,Very High,2026-02-24,530.46,588.56,13.307416,14.062016,14.644353,-0.6721088677938688,-0.3249438106406782,15.94491,16.715145,16.069248,-0.1017189508639847,0.2315367545137733,13.039756,13.797491,12.822619,0.03888786990131254,0.3417125166011407,14.122996,15.003638,15.269153,-0.4364386460397836,-0.1319386084867916,18.4068,14.353922,,13.282167,30360.13,Equity,Large Cap Fund,Fund-Performance-26-Feb-2026--1322.xlsx,,,,,,,,,,,,,,,,,
Axis Large Cap Fund,BSE 100 TRI,Very High,Very High,2026-02-24,61.06,70.6,11.078771,12.045707,14.574032,-1.346877872543004,-0.9844837195293703,13.289232,14.293109,16.057014,-0.8647287679674351,-0.5641311207534911,9.019474,10.098399,13.392057,-1.19600373995925,-0.905871013809717,13.715141,14.981036,15.635463,-0.435228116769007,-0.184398431891785,11.856149,14.221984,11.843033,13.410042,33060.7,Equity,Large Cap Fund,Fund-Performance-26-Feb-2026--1322.xlsx,,,,,,,,,,,,,,,,,
Bajaj Finserv Large Cap Fund,Nifty 100 TRI,Very High,Very High,2026-02-24,10.326,10.562,16.061594,17.787443,14.644353,0.3951492834837432,0.9219833083200915,,,,,,,,,,,,,,,,2.1399648,3.6748288,1.815919,1.815919,1549.89,Equity,Large Cap Fund,Fund-Performance-26-Feb-2026--1322.xlsx,,,,,,,,,,,,,,,,,
Bandhan Large Cap Fund,BSE 100 TRI,Very High,Very High,2026-02-24,78.658,90.974,16.100368,17.444908,14.574032,0.6430127660133433,1.176410813390765,17.986029,19.378944,16.057014,0.5280359879708519,0.9085041497390768,13.110471,14.474871,13.392057,-0.08746811510593067,0.3119255412976163,14.40333,15.742725,15.635463,-0.3407564095723575,0.001049625564279165,11.022037,13.441764,,13.410042,2039.42,Equity,Large Cap Fund,Fund-Performance-26-Feb-2026--1322.xlsx,,,,,,,,,,,,,,,,,
Bank of India Large Cap Fund,Nifty 100 TRI,Very High,Very High,2026-02-24,16.74,17.77,20.17229,21.962938,14.644353,1.194096547080092,1.579783466643924,17.89931,19.340244,16.069248,0.4024145294742555,0.6831100321355574,,,,,,,,,,,11.689763,13.130014,12.313593,12.313593,210.75,Equity,Large Cap Fund,Fund-Performance-26-Feb-2026--1322.xlsx,,,,,,,,,,,,,,,,,
Baroda BNP Paribas Large Cap Fund,Nifty 100 TRI,Very High,Very High,2026-02-24,224.1354,260.3998,12.681192,14.025797,14.644353,-0.7697491205511745,-0.2668642290503003,16.720167,18.105843,16.069248,0.206059915770257,0.6849433278009692,13.042952,14.402858,12.822619,0.04869670800661345,0.5268300011494191,14.369391,15.769845,15.269153,-0.2756357599626332,0.08248096759243842,15.612052,15.312905,15.055191,13.282167,2651.42,Equity,Large Cap Fund,Fund-Performance-26-Feb-2026--1322.xlsx,,,,,,,,,,,,,,,,,
Canara Robeco Large Cap Fund,BSE 100 TRI,Very High,Very High,2026-02-24,63.36,73.71,11.903921,13.191032,14.574032,-1.536079203596465,-0.8164564210354305,15.673914,17.053038,16.057014,-0.2256828970658491,0.427021542178022,12.119358,13.587067,13.392057,-0.6161957907029109,0.03407268339959163,15.53777,17.003557,15.635463,-0.08772772746710734,0.3436695800852877,12.627201,14.718461,11.931924,13.410042,17250.32,Equity,Large Cap Fund,Fund-Performance-26-Feb-2026--1322.xlsx,,,,,,,,,,,,,,,,,
DSP Large Cap Fund,BSE 100 TRI,Very High,Very High,2026-02-24,478.727,526.267,11.07922,12.136328,14.574032,-0.9828251229970539,-0.697521059599474,18.264973,19.27722,16.057014,0.4745494101037784,0.7081658649956711,13.489436,14.42723,13.392057,-0.02069890070925636,0.1818554206331723,13.686436,14.562947,15.635463,-0.3882355458444536,-0.207680100920361,18.336025,12.445916,,13.469354,7280.6,Equity,Large Cap Fund,Fund-Performance-26-Feb-2026--1322.xlsx,,,,,,,,,,,,,,,,,
Edelweiss Large Cap Fund,Nifty 100 TRI,Very High,Very High,2026-02-24,86.31,99.98,14.151567,15.878535,14.644353,-0.2970859408118529,0.5652713140897296,15.939036,17.712812,16.069248,-0.09262053173594767,0.6470986443214634,12.89415,14.623766,12.822619,-0.01230884121706385,0.6675527686119741,14.665719,16.173565,15.269153,-0.2412860923090061,0.2316447153288743,13.707918,14.786058,13.067993,13.295375,1486.05,Equity,Large Cap Fund,Fund-Performance-26-Feb-2026--1322.xlsx,,,,,,,,,,,,,,,,,
Franklin India Large Cap Fund,Nifty 100 TRI,Very High,Very High,2026-02-24,1032.8275,1148.554,12.537803,13.375297,14.644353,-0.6526588113427162,-0.397952551951476,15.136172,16.07772,16.069248,-0.2702889568862597,-0.03117597626040989,10.872674,11.749754,12.822619,-0.4766597995429385,-0.2723261673605744,12.671912,13.58349,15.269153,-0.4830340038840129,-0.3158837543736959,18.637564,12.696586,,13.339378,7638.81,Equity,Large Cap Fund,Fund-Performance-26-Feb-2026--1322.xlsx,,,,,,,,,,,,,,,,,
