amc_name,amc_normalised,tieup_category
Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life,A
Axis Asset Management Company Limited,Axis,A
Baroda BNP Paribas Asset Management India Private Limited,Baroda BNP Paribas Asset Management India,A
Canara Robeco Asset Management Company Ltd.,Canara Robeco,A
DSP Asset Managers Private Limited,DSP,A
Edelweiss Asset Management Limited,Edelweiss,A
Franklin Templeton Asset Management (India) Private Limited,Franklin Templeton,A
HDFC Asset Management Company Limited,HDFC,A
HSBC Asset Management (India) Pvt. Ltd.,HSBC,A
Invesco Asset Management (India) Private Limited,Invesco,A
Kotak Asset Management Company Limited,Kotak,A
Mahindra Manulife Investment Management Private Limited,Mahindra Manulife,A
NJ Asset Management Private Limited,NJ,A
Nippon Life India Asset Management Limited,Nippon Life India,A
SBI Funds Management Limited,SBI,A
Tata Asset Management Ltd,Tata Asset Management,A
UTI Asset Management Company Limited,UTI,A
WhiteOak Capital Asset Management Limited,WhiteOak Capital,A
Bajaj Finserv Asset Management Limited,Bajaj Finserv,A
Mirae Asset Investment Managers (India) Pvt. Ltd.,Mirae Asset,A
Bandhan AMC Limited,Bandhan,A
Bank of India Investment Managers Private Limited,Bank of India Investment Managers,B
LIC Mutual Fund Asset Management Limited,LIC Mutual Fund,B
Union Asset Management Company Private Limited,Union Asset Management Company,B
PGIM India Asset Management Private Limited,PGIM India,B
Helios Capital Asset Management (India) Pvt. Ltd.,Helios Capital,B
Groww Asset Management Limited,Groww,B
Trust Asset Management Private Limited,Trust,B
Shriram Asset Management Company Limited,Shriram,B
